request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 on 2025-08-03. This keeps the balance at or above the IDR 24,768,300.00 minimum through the 90-day forecast."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 on 2026-07-05. This keeps the balance at or above the ZAR 20,500.00 minimum through the 90-day forecast."
request_28,281.89,affordable_later,wait,2024-08-13:1302.40,2024-08-13,none,"Wait and pay the full EUR 1,302.40 on 2024-08-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_29,1457.66,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 28,300.00 ZAR minimum balance."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the 3-payment installment option (payment_option_83) starting 2026-04-06; each payment keeps the balance above the USD 900.00 minimum.
request_31,2894443.04,affordable_later,wait,2024-09-13:18164000,2024-09-13,none,"Wait and pay the full IDR 18,164,000.00 on 2024-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_32,17672.94,affordable_later,wait,2025-04-18:40018,2025-04-18,none,"Wait and pay the full ZAR 40,018.00 on 2025-04-18, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_33,38411.75,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait and pay the full INR 118,000.00 on 2026-03-15, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 on 2024-12-04. This keeps the balance at or above the INR 138,500.00 minimum through the 90-day forecast."
request_35,25070.02,affordable_later,wait,2026-01-16:212000,2026-01-16,none,"Wait and pay the full INR 212,000.00 on 2026-01-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_36,615.13,affordable_later,wait,2026-09-13:3954,2026-09-13,none,"Wait and pay the full USD 3,954.00 on 2026-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_37,4880085.52,affordable_later,wait,2024-05-18:14649000,2024-05-18,none,"Wait and pay the full IDR 14,649,000.00 on 2024-05-18, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_38,236.98,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,"Wait and pay the full EUR 971.30 on 2025-10-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_39,128841.31,affordable_later,wait,2026-04-14:208600,2026-04-14,none,"Wait and pay the full INR 208,600.00 on 2026-04-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
